filename,title,college,level,url
Law_193.txt,Law,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/law/index.php
Leadership_Certificate.txt,Leadership Certificate,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/leadership-cert/index.php
Leadership_in_Post-Secondary_Education.txt,Leadership in Post-Secondary Education,Education,Undergraduate,https://programs.usask.ca/education/certificate-in-leadership-in-post-secondary-education/index.php
Linguistics.txt,Linguistics,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/linguistics/index.php
Linguistics_197.txt,Linguistics,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/linguistics/index.php
Management.txt,Management,Edwards School of Business,Undergraduate,https://programs.usask.ca/edwards/management/index.php
Management_199.txt,Management,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/management/index.php
Marketing.txt,Marketing,Edwards School of Business,Undergraduate,https://programs.usask.ca/edwards/marketing/index.php
Marketing_201.txt,Marketing,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/marketing/index.php
Mathematical_Modelling_Certificate.txt,Mathematical Modelling Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/mathematical-modelling/index.php
Mathematical_Physics.txt,Mathematical Physics,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/mathematical-physics/index.php
Mathematics.txt,Mathematics,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/mathematics/index.php
Mathematics_205.txt,Mathematics,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/mathematics/index.php
Mechanical_Engineering.txt,Mechanical Engineering,Engineering,Undergraduate,https://programs.usask.ca/engineering/mechanical-engineering/index.php
Mechanical_Engineering_207.txt,Mechanical Engineering,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/mechanical-engineering/index.php
Medical_Language_Certificate.txt,Medical Language Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/medical-language/index.php
Medicine.txt,Medicine,Medicine,Undergraduate,https://programs.usask.ca/medicine/md/index.php
Modern_Languages.txt,Modern Languages,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/modern-languages/index.php
Music.txt,Music,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/music/index.php
Music_212.txt,Music,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/music/index.php
Music_Education.txt,Music Education,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/music-education/index.php
Music_and_Wellbeing_Certificate.txt,Music and Wellbeing Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/music-and-wellbeing/index.php
Nursing.txt,Nursing,Nursing,Undergraduate,https://programs.usask.ca/nursing/bsn/index.php
Nursing_216.txt,Nursing,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/nursing/index.php
Nursing_post-degree.txt,"Nursing, post-degree",Nursing,Undergraduate,https://programs.usask.ca/nursing/pdbsn/index.php
Nutrition.txt,Nutrition,Pharmacy and Nutrition,Undergraduate,https://programs.usask.ca/pharmacy-nutrition/nutrition/index.php
Nutrition_219.txt,Nutrition,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/nutrition/index.php
Occupational_Therapy.txt,Occupational Therapy,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/occupational-therapy/index.php
One_Health.txt,One Health,Veterinary Medicine,Undergraduate,https://programs.usask.ca/veterinary-medicine/certificate-one-health/index.php
One_Health_222.txt,One Health,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/one-health/index.php
Palaeobiology.txt,Palaeobiology,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/palaeobiology/index.php
Peace_Studies_Certificate.txt,Peace Studies Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/peace-studies/index.php
Periodontology.txt,Periodontology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/periodontology/index.php
Pharmacy.txt,Pharmacy,Pharmacy and Nutrition,Undergraduate,https://programs.usask.ca/pharmacy-nutrition/pharmacy/index.php
Pharmacy_227.txt,Pharmacy,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/pharmacy/index.php
Philosophy.txt,Philosophy,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/philosophy/index.php
Physical_Therapy.txt,Physical Therapy,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/physical-therapy/index.php
Physician_Assistant_Studies.txt,Physician Assistant Studies,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/physician-assistant-studies/index.php
Physics.txt,Physics,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/physics/index.php
Physics_and_Engineering_Physics.txt,Physics and Engineering Physics,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/physics-engineering-physics/index.php
Plant_Sciences.txt,Plant Sciences,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/plant-sciences/index.php
Political_Studies.txt,Political Studies,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/political-studies/index.php
